segment,from,to,rate
Mortgage,CUR,CUR,0.48217105263157894
Mortgage,CUR,D30,0.061907894736842106
Mortgage,CUR,D60,0.04723684210526316
Mortgage,CUR,D90,0.03657894736842105
Mortgage,CUR,DEF,0.3494078947368421
Mortgage,CUR,PREP,0.022697368421052633
Mortgage,D30,CUR,0.0
Mortgage,D30,D30,0.0
Mortgage,D30,D60,0.0
Mortgage,D30,D90,0.0
Mortgage,D30,DEF,0.0
Mortgage,D30,PREP,0.0
Mortgage,D60,CUR,0.0
Mortgage,D60,D30,0.0
Mortgage,D60,D60,0.0
Mortgage,D60,D90,0.0
Mortgage,D60,DEF,0.0
Mortgage,D60,PREP,0.0
Mortgage,D90,CUR,0.0
Mortgage,D90,D30,0.0
Mortgage,D90,D60,0.0
Mortgage,D90,D90,0.0
Mortgage,D90,DEF,0.0
Mortgage,D90,PREP,0.0
SME,CUR,CUR,0.41102941176470587
SME,CUR,D30,0.06389705882352942
SME,CUR,D60,0.046838235294117646
SME,CUR,D90,0.032205882352941174
SME,CUR,DEF,0.42323529411764704
SME,CUR,PREP,0.022794117647058822
SME,D30,CUR,0.0
SME,D30,D30,0.0
SME,D30,D60,0.0
SME,D30,D90,0.0
SME,D30,DEF,0.0
SME,D30,PREP,0.0
SME,D60,CUR,0.0
SME,D60,D30,0.0
SME,D60,D60,0.0
SME,D60,D90,0.0
SME,D60,DEF,0.0
SME,D60,PREP,0.0
SME,D90,CUR,0.0
SME,D90,D30,0.0
SME,D90,D60,0.0
SME,D90,D90,0.0
SME,D90,DEF,0.0
SME,D90,PREP,0.0
Consumer,CUR,CUR,0.464375
Consumer,CUR,D30,0.063125
Consumer,CUR,D60,0.045625
Consumer,CUR,D90,0.03660714285714286
Consumer,CUR,DEF,0.3705357142857143
Consumer,CUR,PREP,0.019732142857142858
Consumer,D30,CUR,0.0
Consumer,D30,D30,0.0
Consumer,D30,D60,0.0
Consumer,D30,D90,0.0
Consumer,D30,DEF,0.0
Consumer,D30,PREP,0.0
Consumer,D60,CUR,0.0
Consumer,D60,D30,0.0
Consumer,D60,D60,0.0
Consumer,D60,D90,0.0
Consumer,D60,DEF,0.0
Consumer,D60,PREP,0.0
Consumer,D90,CUR,0.0
Consumer,D90,D30,0.0
Consumer,D90,D60,0.0
Consumer,D90,D90,0.0
Consumer,D90,DEF,0.0
Consumer,D90,PREP,0.0
