segment,orig_month_back,orig_date,seasoning0,income,score,ltv0,limit,util0,ead0,tenor_m,secured,collateral_type,pit_pd_base,ttc_pd,shock_pd,shock_lgd,shock_ead,stage_ifrs9,ECL_12m_EIR_t,ECL_life_EIR_t,ECL_stage_EIR_t,interest_gross_12m,interest_stage3_12m,vintage
Mortgage,38,2021-11-18,38,34714.29690801327,706.6872820595858,0.8180689115636299,2531676.077815402,0.8568680336832134,2169312.302720513,98,1,property,0.022,0.018,-0.20993754994115696,-0.15363082144239357,-0.12874677807768983,Stage3,0.0,335539.1695706286,335539.1695706286,451246.0322235322,451246.0322235322,36
Mortgage,51,2020-10-24,51,41468.49684266983,769.1033391992512,0.4550731772118234,1345432.2734056772,0.9120234838174215,1227065.8292318392,56,1,property,0.022,0.018,-0.2401533343340401,-0.6048426649508324,-0.9827368076813545,Stage3,201673.21421268658,201673.21421268658,201673.21421268658,245413.16584636786,148883.98728012986,48
Mortgage,28,2022-09-14,28,37465.38796765753,705.5278747724656,0.8724395693710976,1819981.9678717775,0.955415733132826,1738839.4061227378,64,1,vehicle,0.022,0.018,-2.3404775519526466,-0.8838396896256157,-1.1325243372620235,Stage3,448665.2839772236,448665.2839772236,448665.2839772236,352183.98130358936,212524.8163038902,24
Mortgage,14,2023-11-08,14,43319.579598839955,770.7707663078875,0.40130629768848636,2430465.947533939,0.9140358518324936,2221533.0127040525,135,1,property,0.022,0.018,-0.2671847297759372,-0.1107395236975103,-1.2028073681089053,Stage2,0.0,0.0,0.0,468677.1512622656,468677.1512622656,12
Mortgage,42,2021-07-21,42,86302.17921602495,684.5363907746009,0.6886978540100489,1623852.1688783176,0.8851280353124601,1437317.0798771423,86,1,property,0.022,0.018,-0.7241719614783053,-0.13075528282517374,1.0575926361718828,Stage3,0.0,124579.84730374001,124579.84730374001,295749.12620060256,295749.12620060256,42
Mortgage,7,2024-06-05,7,29418.031611259685,714.8232641695867,0.8413543576953695,1285272.626064948,0.7786266277549141,1000747.4905786532,120,1,property,0.022,0.018,1.2954272663025117,1.0073742562201367,0.2932494502720986,Stage3,0.0,167729.8105747952,167729.8105747952,209988.78016595764,209988.78016595764,6
Mortgage,20,2023-05-12,20,30636.912173576977,713.3661570213279,0.6175791580691435,2456577.428684026,0.7813212152109186,1919376.061839117,41,1,property,0.022,0.018,-0.9280969916529315,0.2733943011370134,-0.07341752794091122,Stage3,0.0,0.0,0.0,364201.6077339725,364201.6077339725,18
Mortgage,38,2021-11-18,38,60333.819486055465,646.6948414982089,0.5296303792260331,2839147.0317477477,0.7807200552214072,2216579.027407796,90,1,property,0.022,0.018,0.8310393326040855,0.3057074847335097,-0.37493481425683034,Stage3,0.0,697461.8417677846,697461.8417677846,513730.330242194,513730.330242194,36
Mortgage,57,2020-04-27,57,38266.097562553376,778.194799230315,0.6876604738408644,2635308.07407526,0.9176057913240214,2418173.950694412,27,1,property,0.022,0.018,0.11892675655005298,-0.41284221485693284,-0.22264380246203924,Stage3,142874.79561090385,142874.79561090385,142874.79561090385,429690.90970031463,274524.7478640899,54
Mortgage,18,2023-07-11,18,43956.33836099868,746.5734278978709,0.5768723371657989,1642686.0184329483,0.752903493794965,1236784.042486307,22,1,property,0.022,0.018,-0.3203917972511176,-0.9699422181026255,0.9251843621186285,Stage2,0.0,0.0,0.0,145840.02633205932,145840.02633205932,18
