segment,vintage,ECL_stage_EIR_t
Consumer,0,16858.20881382645
Consumer,6,18090.77623810238
Consumer,12,17299.07584028225
Consumer,18,17583.06915645244
Consumer,24,17960.063663902893
Consumer,30,17615.494696894813
Consumer,36,17842.2646802388
Consumer,42,17648.842613346478
Consumer,48,17279.147446374827
Consumer,54,16417.924810547007
Mortgage,0,219157.11603729747
Mortgage,6,209546.06919982086
Mortgage,12,189353.83733202558
Mortgage,18,207394.47327244742
Mortgage,24,210638.92351239282
Mortgage,30,205811.1300830545
Mortgage,36,191197.13994945158
Mortgage,42,196140.874344738
Mortgage,48,199798.45302139077
Mortgage,54,197937.6249377946
SME,0,253101.916905143
SME,6,257638.0409543259
SME,12,249009.6118823487
SME,18,254196.3262684539
SME,24,246709.3441257673
SME,30,261130.73214237284
SME,36,240640.60729069498
SME,42,248138.05674468153
SME,48,258564.67731308285
SME,54,248722.9608193427
